"['g1', 'tau1']","['g2', 'tau2']",OBJ,G0,G1,G2
1.4766393604667857e-01,4.2671568327077509e+01,6.1523533338065109e-02,1.5693476004060919e+03,1.6382347741946544e-02,-1.0000000000000000e+00,-7.1374009103945604e-02,-7.5332764376150241e-01
1.4763998063964501e-01,4.2690644865810377e+01,6.1538133259270225e-02,1.5691032749355322e+03,1.6371392655884318e-02,-1.0000000000000000e+00,-7.1337849316410282e-02,-7.5313891700360025e-01
1.4762517538419123e-01,4.2702434814890282e+01,6.1547156506620772e-02,1.5689522734935433e+03,1.6364629329537101e-02,-1.0000000000000000e+00,-7.1315501339151349e-02,-7.5302227745505101e-01
1.4761602523331194e-01,4.2709721403985391e+01,6.1552733180048398e-02,1.5688589494721173e+03,1.6360452778471087e-02,-1.0000000000000000e+00,-7.1301689529932349e-02,-7.5295019025121679e-01
1.4761037012918374e-01,4.2714224763614759e+01,6.1556179753699293e-02,1.5688012720561064e+03,1.6357872494620115e-02,-1.0000000000000000e+00,-7.1293153362566086e-02,-7.5290563791001808e-01
1.4833922607890837e-01,4.2721511352145420e+01,6.1561756426694925e-02,1.5687079480419097e+03,1.6408167696701541e-02,-1.0000000000000000e+00,-7.1943547044322625e-02,-7.5283355071176805e-01
1.4760121997901329e-01,4.2935118908906148e+01,6.1561756426694925e-02,1.5687079480419097e+03,1.6282146441199200e-02,-1.0000000000000000e+00,-7.1279341554417036e-02,-7.5224019638743278e-01
1.4760121997901329e-01,4.2721511352145420e+01,6.1869565208828400e-02,1.5687079480419097e+03,1.6300500983672087e-02,-1.0000000000000000e+00,-7.0971532772283560e-02,-7.5283355071176805e-01
1.4760121997901329e-01,4.2721511352145420e+01,6.1561756426694925e-02,1.5765514877821192e+03,1.6372100648828200e-02,-1.0000000000000000e+00,-7.1279341554417036e-02,-7.5719107278966225e-01
1.4738589152805806e-01,4.3145583587399173e+01,6.1950535795639694e-02,1.5623150304267626e+03,1.6116602428629494e-02,-1.0000000000000000e+00,-7.0696766579612574e-02,-7.4810395138320374e-01
1.4751897182661061e-01,4.2883492538004319e+01,6.1710256936711720e-02,1.5662660707146190e+03,1.6262939931080318e-02,-1.0000000000000000e+00,-7.1056817707237818e-02,-7.5102700445810977e-01
1.4746813967404346e-01,4.2983602414178620e+01,6.1802035297209422e-02,1.5647569075635299e+03,1.6206975194941999e-02,-1.0000000000000000e+00,-7.0919290409429681e-02,-7.4991049749590932e-01
1.4743672367668761e-01,4.3045473718979750e+01,6.1858757442251479e-02,1.5638241934609464e+03,1.6172430030324748e-02,-1.0000000000000000e+00,-7.0834293866767373e-02,-7.4922045825891537e-01
1.4741730752296270e-01,4.3083712287425463e+01,6.1893813655023298e-02,1.5632477444565723e+03,1.6151109240405553e-02,-1.0000000000000000e+00,-7.0781763115643132e-02,-7.4879399056635820e-01
1.4740530768027896e-01,4.3107345021915556e+01,6.1915479585583459e-02,1.5628914793864826e+03,1.6137915920938408e-02,-1.0000000000000000e+00,-7.0749297326667598e-02,-7.4853041904272488e-01
1.4812282098569837e-01,4.3145583587399173e+01,6.1950535795639694e-02,1.5623150304267626e+03,1.6174044684558915e-02,-1.0000000000000000e+00,-7.1360003091488849e-02,-7.4810395138320374e-01
1.4738589152805806e-01,4.3361311505336168e+01,6.1950535795639694e-02,1.5623150304267626e+03,1.6044972307325957e-02,-1.0000000000000000e+00,-7.0696766579612574e-02,-7.4750470716671213e-01
